Case,Average Time,50th Percentile,90th Percentile,Execution Times
Empty Redis,0.13944600105285646,0.12289810180664062,0.20317666530609133,"[0.47191381454467773, 0.16303396224975586, 0.23042678833007812, 0.10755109786987305, 0.10669994354248047, 0.26690101623535156, 0.15089082717895508, 0.15360212326049805, 0.10680007934570312, 0.10634088516235352, 0.10729813575744629, 0.13449883460998535, 0.1077718734741211, 0.1048879623413086, 0.14617204666137695, 0.11659598350524902, 0.11067867279052734, 0.11028289794921875, 0.20311594009399414, 0.13553476333618164, 0.1415879726409912, 0.10566020011901855, 0.10593199729919434, 0.10969185829162598, 0.16776204109191895, 0.11164593696594238, 0.11223506927490234, 0.11325502395629883, 0.11905097961425781, 0.16053414344787598, 0.12377691268920898, 0.14043188095092773, 0.16710209846496582, 0.10175204277038574, 0.10378098487854004, 0.10626101493835449, 0.137498140335083, 0.10485100746154785, 0.10718584060668945, 0.10562992095947266, 0.15369701385498047, 0.1431288719177246, 0.11298894882202148, 0.1753678321838379, 0.11726999282836914, 0.20372319221496582, 0.12900185585021973, 0.12824296951293945, 0.10325288772583008, 0.25888824462890625, 0.10541796684265137, 0.11473584175109863, 0.1807398796081543, 0.1451399326324463, 0.12217116355895996, 0.17267489433288574, 0.14616608619689941, 0.11963891983032227, 0.17809104919433594, 0.10327911376953125, 0.10389399528503418, 0.1060490608215332, 0.14212393760681152, 0.10680174827575684, 0.10271000862121582, 0.12654614448547363, 0.20818710327148438, 0.11419010162353516, 0.12054705619812012, 0.21527099609375, 0.14795923233032227, 0.10552024841308594, 0.10810208320617676, 0.10279989242553711, 0.12362504005432129, 0.1620039939880371, 0.15079712867736816, 0.10728025436401367, 0.17811107635498047, 0.10520815849304199, 0.10569405555725098, 0.1049342155456543, 0.13625407218933105, 0.1068260669708252, 0.11272287368774414, 0.14786791801452637, 0.13359379768371582, 0.10559201240539551, 0.10564899444580078, 0.213090181350708, 0.14305782318115234, 0.21190094947814941, 0.11307597160339355, 0.10812783241271973, 0.13121700286865234, 0.21416997909545898, 0.14656591415405273, 0.14813780784606934, 0.1569080352783203, 0.16124796867370605]"
Redis with Data,1.0198527550697327,0.9019970893859863,1.250624489784241,"[0.9013001918792725, 0.9410521984100342, 1.0137648582458496, 0.9859189987182617, 0.910574197769165, 0.8533449172973633, 0.9852371215820312, 0.9581060409545898, 1.0799081325531006, 1.0046546459197998, 1.0158047676086426, 0.9408771991729736, 0.8341939449310303, 0.88211989402771, 0.613447904586792, 0.9286389350891113, 1.140488862991333, 0.8595168590545654, 0.8297810554504395, 0.8999319076538086, 0.8458130359649658, 1.1156840324401855, 0.9686169624328613, 0.8023128509521484, 1.0232110023498535, 3.654758930206299, 3.0226340293884277, 1.2995350360870361, 0.8074591159820557, 1.1840922832489014, 0.7450249195098877, 0.8006539344787598, 0.8865411281585693, 0.793100118637085, 0.8053009510040283, 0.827739953994751, 0.7823140621185303, 0.8906052112579346, 0.7964680194854736, 0.7581238746643066, 1.1936988830566406, 0.7510330677032471, 0.8558089733123779, 0.9466700553894043, 0.8154690265655518, 0.8906350135803223, 0.9295470714569092, 0.8446779251098633, 0.9115359783172607, 0.8117537498474121, 0.8654580116271973, 0.9460117816925049, 1.0274269580841064, 0.8502688407897949, 2.034174919128418, 0.7862238883972168, 0.8153040409088135, 0.9026939868927002, 0.8344171047210693, 0.9255647659301758, 0.8567099571228027, 0.8778059482574463, 0.8788681030273438, 0.8008158206939697, 0.7756690979003906, 1.0849740505218506, 0.6582820415496826, 0.8621091842651367, 0.8335170745849609, 0.8609538078308105, 0.9130980968475342, 0.8808000087738037, 0.7514951229095459, 0.8550059795379639, 0.9876790046691895, 1.050199031829834, 1.248661994934082, 0.8890328407287598, 0.9466869831085205, 0.7662169933319092, 0.8861629962921143, 0.7737548351287842, 1.0711538791656494, 0.6756863594055176, 1.011051893234253, 0.9969708919525146, 0.9188780784606934, 1.2687880992889404, 0.8405699729919434, 1.3256990909576416, 1.2191011905670166, 0.9362039566040039, 1.0044779777526855, 1.2203881740570068, 0.9383132457733154, 2.0008347034454346, 2.4455559253692627, 2.112612009048462, 0.9651780128479004, 1.268286943435669]"
